OID,CID,Lat,Long,together
40,3,-124.5114436,41.29948008,"(-124.51144357,41.29948008)"
41,3,-123.1087254,37.08214765,"(-123.1087254,37.08214765)"
42,3,-123.3220404,37.2071419,"(-123.3220404,37.2071419)"
43,3,-118.600662,32.33383642,"(-118.60066202,32.33383642)"
44,3,-124.6183012,38.65678367,"(-124.61830124,38.65678367)"
45,3,-126.337062,40.88857964,"(-126.33706196,40.88857964)"
46,3,-127.0001228,40.2628264,"(-127.00012283,40.2628264)"
47,3,-123.5581526,36.07676992,"(-123.55815264,36.07676992)"
48,3,-124.8009239,41.34947606,"(-124.80092387,41.34947606)"
49,3,-122.4841574,33.36208894,"(-122.48415738,33.36208894)"
50,3,-122.3327892,35.37388531,"(-122.3327892,35.37388531)"
51,3,-124.2623608,35.64568165,"(-124.26236079,35.64568165)"
52,3,-117.8246683,32.63411633,"(-117.82466828,32.63411633)"
53,3,-121.7099937,32.0182977,"(-121.70999365,32.0182977)"
54,3,-126.7261538,40.98696603,"(-126.72615383,40.98696603)"
55,3,-125.1194264,36.62112665,"(-125.11942642,36.62112665)"
56,3,-123.9828156,37.39577794,"(-123.98281558,37.39577794)"
57,3,-124.8541773,37.18356228,"(-124.85417734,37.18356228)"
58,3,-124.083014,39.3871773,"(-124.08301402,39.3871773)"
59,3,-124.0108068,39.23969875,"(-124.01080675,39.23969875)"
60,3,-122.7896761,33.40903009,"(-122.78967608,33.40903009)"
61,3,-124.6325387,38.95777741,"(-124.63253866,38.95777741)"
62,3,-125.3625724,37.69854397,"(-125.36257236,37.69854397)"
63,3,-123.9777327,37.04626264,"(-123.97773266,37.04626264)"
64,3,-126.4033873,41.72201778,"(-126.40338734,41.72201778)"
65,3,-122.4504452,33.59352779,"(-122.45044515,33.59352779)"
66,3,-122.611088,35.12423009,"(-122.61108804,35.12423009)"
67,3,-124.1142185,35.04542595,"(-124.11421854,35.04542595)"
68,3,-125.9324856,38.1720832,"(-125.93248556,38.1720832)"
69,3,-123.8006043,36.16831243,"(-123.80060432,36.16831243)"
70,3,-120.8462555,34.19069853,"(-120.84625553,34.19069853)"
71,3,-126.8760605,38.72393832,"(-126.87606053,38.72393832)"
72,3,-117.8949917,33.29901999,"(-117.8949917,33.29901999)"
73,3,-120.4262643,31.65977712,"(-120.42626427,31.65977712)"
74,3,-122.0917315,33.93690475,"(-122.09173147,33.93690475)"
75,3,-123.0920238,37.82398932,"(-123.09202383,37.82398932)"
76,3,-119.6082899,32.95372448,"(-119.60828992,32.95372448)"
77,3,-124.8275444,38.90764495,"(-124.82754443,38.90764495)"
78,3,-119.7569324,32.82035283,"(-119.75693237,32.82035283)"
79,3,-124.8228328,37.39954231,"(-124.82283278,37.39954231)"
80,3,-125.3048415,37.85615222,"(-125.30484152,37.85615222)"
81,3,-121.5892641,34.05900792,"(-121.58926413,34.05900792)"
82,3,-126.971105,39.97793732,"(-126.97110498,39.97793732)"
83,3,-123.5468544,34.51534732,"(-123.54685443,34.51534732)"
84,3,-125.6457568,39.8786096,"(-125.64575682,39.8786096)"
85,3,-123.1218725,37.28883441,"(-123.12187245,37.28883441)"
86,3,-118.7887056,31.18793102,"(-118.78870561,31.18793102)"
87,3,-121.2359701,33.00814981,"(-121.23597011,33.00814981)"
88,3,-125.8088872,40.83540643,"(-125.80888718,40.83540643)"
89,3,-123.6053356,37.46219516,"(-123.60533555,37.46219516)"
90,3,-123.3469593,38.60930487,"(-123.34695933,38.60930487)"
91,3,-123.6458416,37.63949846,"(-123.64584164,37.63949846)"
92,3,-120.0719666,32.40500965,"(-120.07196661,32.40500965)"
93,3,-122.5228563,37.10160992,"(-122.52285632,37.10160992)"
94,3,-121.5340098,32.80178944,"(-121.53400976,32.80178944)"
95,3,-120.1695141,34.05183422,"(-120.16951408,34.05183422)"
96,3,-125.0399122,38.63212187,"(-125.03991218,38.63212187)"
97,3,-122.624026,36.94300493,"(-122.62402602,36.94300493)"
98,3,-124.2154294,35.43934489,"(-124.21542941,35.43934489)"
99,3,-122.5945626,33.88810211,"(-122.59456264,33.88810211)"
100,3,-120.1949032,33.78240844,"(-120.19490322,33.78240844)"
101,3,-124.1684007,39.18909268,"(-124.16840073,39.18909268)"
102,3,-125.2397585,39.66742067,"(-125.23975852,39.66742067)"
103,3,-118.1545608,32.75830956,"(-118.15456077,32.75830956)"
104,3,-118.8124397,32.78843752,"(-118.81243969,32.78843752)"
105,3,-124.9697737,38.63442102,"(-124.96977372,38.63442102)"
106,3,-124.3879872,38.5617713,"(-124.38798722,38.5617713)"
107,3,-123.3229413,36.67484774,"(-123.32294131,36.67484774)"
108,3,-123.5180723,37.49264983,"(-123.51807228,37.49264983)"
109,3,-120.6901775,32.79869051,"(-120.69017746,32.79869051)"
110,3,-121.3310661,31.34285782,"(-121.33106606,31.34285782)"
111,3,-121.6810071,35.73156865,"(-121.68100705,35.73156865)"
112,3,-123.1840169,38.40574531,"(-123.18401687,38.40574531)"
113,3,-121.5634802,34.3560602,"(-121.56348024,34.3560602)"
114,3,-118.9619657,31.44963703,"(-118.96196572,31.44963703)"
115,3,-119.2794259,31.56678642,"(-119.27942591,31.56678642)"
116,3,-119.7910794,33.93350908,"(-119.79107938,33.93350908)"
117,3,-120.8322221,32.83632108,"(-120.83222207,32.83632108)"
118,3,-123.4011976,34.4401797,"(-123.40119759,34.4401797)"
119,3,-122.1428566,33.06319533,"(-122.14285663,33.06319533)"
120,3,-120.9068808,32.97542167,"(-120.90688077,32.97542167)"
121,3,-125.4444981,37.92476211,"(-125.44449808,37.92476211)"
122,3,-127.1209973,40.99228993,"(-127.12099727,40.99228993)"
123,3,-120.9766102,33.23915321,"(-120.97661023,33.23915321)"
124,3,-126.5227109,38.72835848,"(-126.52271089,38.72835848)"
125,3,-122.6302952,33.19157853,"(-122.6302952,33.19157853)"
126,3,-120.2750323,34.43248258,"(-120.27503233,34.43248258)"
127,3,-123.7439353,38.88059994,"(-123.74393529,38.88059994)"
128,3,-118.055953,32.81043784,"(-118.055953,32.81043784)"
129,3,-125.0454978,41.05219048,"(-125.04549782,41.05219048)"
130,3,-123.600765,36.56558251,"(-123.60076501,36.56558251)"
131,3,-126.0210334,41.82230292,"(-126.02103336,41.82230292)"
132,3,-118.6210252,31.72839622,"(-118.62102524,31.72839622)"
133,3,-124.2163965,39.18411147,"(-124.21639652,39.18411147)"
134,3,-120.1533175,31.88471874,"(-120.15331749,31.88471874)"
135,3,-123.710312,35.51537348,"(-123.71031204,35.51537348)"
136,3,-124.8986302,39.57438918,"(-124.89863017,39.57438918)"
137,3,-120.9774611,33.29103479,"(-120.97746107,33.29103479)"
138,3,-126.1452325,40.40741425,"(-126.14523249,40.40741425)"
139,3,-125.745945,38.64777376,"(-125.74594497,38.64777376)"
140,3,-123.5645931,35.21193498,"(-123.56459308,35.21193498)"
141,3,-122.2005027,32.64438349,"(-122.20050273,32.64438349)"
142,3,-124.7141916,39.68788476,"(-124.71419164,39.68788476)"
143,3,-120.8771159,32.82431473,"(-120.87711586,32.82431473)"
144,3,-118.5957673,31.79484732,"(-118.59576732,31.79484732)"
145,3,-126.8029152,40.2948661,"(-126.80291518,40.2948661)"
146,3,-123.4275991,35.14987347,"(-123.42759912,35.14987347)"
147,3,-122.9490287,36.34712771,"(-122.94902871,36.34712771)"
148,3,-125.5837159,39.92206885,"(-125.58371589,39.92206885)"
149,3,-123.7488033,38.22233667,"(-123.74880332,38.22233667)"
150,3,-119.4446428,32.92100737,"(-119.44464279,32.92100737)"
151,3,-126.3906474,40.06189015,"(-126.39064737,40.06189015)"
152,3,-123.4663905,37.23170007,"(-123.4663905,37.23170007)"
153,3,-126.3815792,38.57090928,"(-126.38157921,38.57090928)"
154,3,-126.3780576,39.0114637,"(-126.37805758,39.0114637)"
155,3,-125.0278248,40.84825547,"(-125.02782479,40.84825547)"
156,3,-126.4372529,40.95518292,"(-126.43725292,40.95518292)"
157,3,-123.6193106,38.78615198,"(-123.6193106,38.78615198)"
158,3,-124.5098651,39.26019244,"(-124.50986505,39.26019244)"
159,3,-121.3932496,34.27220359,"(-121.39324962,34.27220359)"
160,3,-123.5111162,35.36101879,"(-123.51111615,35.36101879)"
161,3,-123.9625562,35.9176002,"(-123.96255621,35.9176002)"
162,3,-124.6703419,37.64612021,"(-124.67034193,37.64612021)"
163,3,-126.1184931,39.53052259,"(-126.11849314,39.53052259)"
164,3,-124.4058062,38.0616428,"(-124.40580622,38.0616428)"
165,3,-119.171123,32.09847668,"(-119.17112302,32.09847668)"
166,3,-119.8726202,33.8992181,"(-119.87262017,33.8992181)"
167,3,-124.4770307,41.29357629,"(-124.47703072,41.29357629)"
168,3,-119.7606882,32.98045434,"(-119.76068815,32.98045434)"
169,3,-124.8602073,37.8052738,"(-124.86020732,37.8052738)"
170,3,-124.8378028,40.01169241,"(-124.83780284,40.01169241)"
171,3,-124.7504815,36.55396109,"(-124.75048145,36.55396109)"
172,3,-118.9991221,31.98456301,"(-118.99912212,31.98456301)"
173,3,-119.761605,33.1077046,"(-119.76160495,33.1077046)"
174,3,-120.6304619,33.40157696,"(-120.63046185,33.40157696)"
175,3,-124.1319759,36.64935357,"(-124.13197586,36.64935357)"
176,3,-124.8376595,36.55116893,"(-124.83765954,36.55116893)"
177,3,-120.2568448,33.68931848,"(-120.25684483,33.68931848)"
178,3,-122.6459907,34.55999388,"(-122.6459907,34.55999388)"
179,3,-125.9121374,40.17791438,"(-125.91213739,40.17791438)"
180,3,-120.4933601,31.04779093,"(-120.49336006,31.04779093)"
181,3,-121.7520468,35.81449772,"(-121.75204684,35.81449772)"
182,3,-127.2795745,41.83266024,"(-127.27957448,41.83266024)"
183,3,-123.6924365,37.36860711,"(-123.69243645,37.36860711)"
184,3,-125.9838176,38.35831262,"(-125.98381759,38.35831262)"
185,3,-119.7649527,32.73799226,"(-119.76495266,32.73799226)"
186,3,-120.3647777,31.83360193,"(-120.36477767,31.83360193)"
187,3,-124.3502983,38.75851813,"(-124.35029829,38.75851813)"
188,3,-124.7825507,36.50965956,"(-124.78255071,36.50965956)"
189,3,-119.6737805,31.68595094,"(-119.67378052,31.68595094)"
190,3,-123.1206178,37.20254902,"(-123.12061781,37.20254902)"
191,3,-124.0648978,39.07096918,"(-124.06489781,39.07096918)"
192,3,-125.4569218,37.86712539,"(-125.45692179,37.86712539)"
193,3,-120.1793329,34.47403347,"(-120.17933288,34.47403347)"
194,3,-121.7909875,31.92433647,"(-121.79098748,31.92433647)"
195,3,-122.6471775,35.53818458,"(-122.64717754,35.53818458)"
196,3,-125.7242958,38.4234131,"(-125.72429584,38.4234131)"
197,3,-120.0337826,33.99728744,"(-120.03378261,33.99728744)"
198,3,-121.9542499,33.23449237,"(-121.95424989,33.23449237)"
199,3,-124.6742381,41.47772049,"(-124.67423812,41.47772049)"
200,3,-124.8023991,36.48475804,"(-124.80239905,36.48475804)"
201,3,-125.8509041,41.64281095,"(-125.85090409,41.64281095)"
202,3,-125.0455763,37.03493072,"(-125.04557632,37.03493072)"
203,3,-122.5075168,33.13824275,"(-122.50751675,33.13824275)"
204,3,-122.6744637,36.23906227,"(-122.67446374,36.23906227)"
205,3,-126.0172818,38.80785253,"(-126.01728177,38.80785253)"
206,3,-120.8203551,33.82853613,"(-120.82035508,33.82853613)"
207,3,-124.9963407,38.78524493,"(-124.99634069,38.78524493)"
208,3,-125.876466,41.49287223,"(-125.87646603,41.49287223)"
209,3,-121.9960397,35.97823455,"(-121.99603966,35.97823455)"
210,3,-121.9195165,32.20405065,"(-121.91951651,32.20405065)"
211,3,-124.1279185,39.39441822,"(-124.12791853,39.39441822)"
212,3,-119.0141182,33.09539762,"(-119.01411818,33.09539762)"
213,3,-124.3285432,36.33651196,"(-124.32854323,36.33651196)"
214,3,-122.1355759,37.54949407,"(-122.13557587,37.54949407)"
215,3,-120.4548359,31.21901771,"(-120.45483588,31.21901771)"
216,3,-121.8396568,36.74913221,"(-121.83965681,36.74913221)"
217,3,-122.8177062,34.78472148,"(-122.81770616,34.78472148)"
218,3,-120.8166468,31.23592513,"(-120.81664684,31.23592513)"
219,3,-122.325919,36.93957411,"(-122.32591901,36.93957411)"
220,3,-119.802323,34.14172568,"(-119.80232302,34.14172568)"
221,3,-121.6088485,35.65465493,"(-121.60884845,35.65465493)"
222,3,-123.23909,36.93420919,"(-123.23908999,36.93420919)"
223,3,-126.6458911,38.68379434,"(-126.64589112,38.68379434)"
224,3,-123.9259034,37.28070888,"(-123.92590341,37.28070888)"
225,3,-122.6325294,36.84855719,"(-122.63252935,36.84855719)"
226,3,-119.5223842,33.04217417,"(-119.52238422,33.04217417)"
227,3,-126.0566826,41.67699749,"(-126.05668261,41.67699749)"
228,3,-126.6614716,39.24729848,"(-126.66147157,39.24729848)"
229,3,-120.1411211,33.7401137,"(-120.14112108,33.7401137)"
230,3,-124.6590983,41.0568576,"(-124.65909825,41.0568576)"
231,3,-122.5537811,33.17282008,"(-122.55378114,33.17282008)"
232,3,-122.8282782,33.32723117,"(-122.82827822,33.32723117)"
233,3,-124.1408314,38.48680718,"(-124.14083143,38.48680718)"
234,3,-121.6311261,32.65636088,"(-121.63112605,32.65636088)"
235,3,-121.8263988,33.58898329,"(-121.82639875,33.58898329)"
236,3,-120.7457632,32.4671006,"(-120.74576316,32.4671006)"
237,3,-124.668563,39.41928213,"(-124.66856301,39.41928213)"
238,3,-123.1952847,37.46554692,"(-123.1952847,37.46554692)"
239,3,-122.2760781,36.5073014,"(-122.2760781,36.5073014)"
240,3,-121.9092427,33.98345635,"(-121.90924274,33.98345635)"
241,3,-122.3498133,36.13763415,"(-122.34981328,36.13763415)"
242,3,-125.5348511,38.04567543,"(-125.53485107,38.04567543)"
243,3,-119.2600787,31.41590843,"(-119.26007872,31.41590843)"
244,3,-122.6337578,36.8858639,"(-122.63375782,36.8858639)"
245,3,-121.107064,35.23373304,"(-121.10706402,35.23373304)"
246,3,-124.1421125,41.51975487,"(-124.14211248,41.51975487)"
247,3,-125.2644494,41.17989384,"(-125.26444936,41.17989384)"
248,3,-122.5009798,34.64527569,"(-122.50097979,34.64527569)"
249,3,-120.7690988,32.41448084,"(-120.76909884,32.41448084)"
250,3,-123.1808274,34.41009588,"(-123.18082736,34.41009588)"
251,3,-125.5354476,39.3769818,"(-125.53544762,39.3769818)"
252,3,-126.1989008,38.3221331,"(-126.19890077,38.3221331)"
253,3,-122.0527792,34.81933589,"(-122.05277923,34.81933589)"
254,3,-122.1504911,36.26130587,"(-122.1504911,36.26130587)"
255,3,-123.0501784,37.41182051,"(-123.05017843,37.41182051)"
256,3,-123.9932134,38.40926041,"(-123.99321337,38.40926041)"
257,3,-125.6648632,40.31295394,"(-125.66486315,40.31295394)"
258,3,-124.2394662,40.05706276,"(-124.23946624,40.05706276)"
259,3,-119.2385096,32.95879906,"(-119.23850956,32.95879906)"
260,3,-121.3379116,34.54532975,"(-121.33791163,34.54532975)"
261,3,-126.3246135,39.2168021,"(-126.32461345,39.2168021)"
262,3,-124.4641116,41.47001455,"(-124.4641116,41.47001455)"
263,3,-122.4697466,35.77904836,"(-122.4697466,35.77904836)"
264,3,-122.379048,36.65679309,"(-122.37904795,36.65679309)"
265,3,-122.6181123,34.07276794,"(-122.61811234,34.07276794)"
266,3,-122.1517899,33.55434477,"(-122.15178986,33.55434477)"
267,3,-123.0282332,36.76748479,"(-123.02823316,36.76748479)"
268,3,-122.4129072,37.05995264,"(-122.41290722,37.05995264)"
269,3,-120.4177493,33.04376595,"(-120.41774927,33.04376595)"
270,3,-121.9116961,35.27830151,"(-121.91169605,35.27830151)"
271,3,-119.9590125,33.84904707,"(-119.95901254,33.84904707)"
272,3,-126.2952163,41.4298528,"(-126.29521627,41.4298528)"
273,3,-123.1815202,37.78037502,"(-123.18152015,37.78037502)"
274,3,-121.5961321,33.57511003,"(-121.59613209,33.57511003)"
275,3,-121.0107917,33.14839268,"(-121.0107917,33.14839268)"
276,3,-119.6176279,33.80803674,"(-119.61762792,33.80803674)"
277,3,-121.8552278,33.38992537,"(-121.85522781,33.38992537)"
278,3,-125.070905,38.18745844,"(-125.07090504,38.18745844)"
279,3,-119.3522637,31.99876037,"(-119.35226372,31.99876037)"
280,3,-118.0589617,32.90822592,"(-118.05896166,32.90822592)"
281,3,-125.8019878,41.6572187,"(-125.80198776,41.6572187)"
282,3,-120.9448506,32.25175625,"(-120.94485061,32.25175625)"
283,3,-125.3018963,38.26046708,"(-125.30189629,38.26046708)"
284,3,-124.7586284,41.39872048,"(-124.75862837,41.39872048)"
285,3,-123.7684176,34.39909618,"(-123.76841763,34.39909618)"
286,3,-121.5930228,34.7257349,"(-121.59302281,34.7257349)"
287,3,-121.7844876,34.95204439,"(-121.78448759,34.95204439)"
288,3,-121.6326295,35.70799375,"(-121.63262952,35.70799375)"
289,3,-119.4080941,33.25190395,"(-119.40809408,33.25190395)"
290,3,-125.4074532,37.61524415,"(-125.40745323,37.61524415)"
291,3,-126.2777197,40.07418675,"(-126.27771966,40.07418675)"
292,3,-124.5278275,40.29776641,"(-124.52782751,40.29776641)"
293,3,-119.3706759,33.99467365,"(-119.37067588,33.99467365)"
294,3,-123.5039648,36.71257628,"(-123.50396478,36.71257628)"
295,3,-124.8871068,39.71678682,"(-124.8871068,39.71678682)"
296,3,-121.4110126,33.40571206,"(-121.41101259,33.40571206)"
297,3,-123.9429257,36.31960907,"(-123.94292567,36.31960907)"
298,3,-124.4848078,39.39948309,"(-124.48480778,39.39948309)"
299,3,-121.071067,34.97419017,"(-121.07106699,34.97419017)"
300,3,-124.2998627,36.42154671,"(-124.29986266,36.42154671)"
301,3,-126.0182546,37.94097971,"(-126.01825457,37.94097971)"
302,3,-118.008559,32.75708313,"(-118.00855901,32.75708313)"
303,3,-122.1172076,33.75091262,"(-122.11720764,33.75091262)"
304,3,-126.1883601,40.41409979,"(-126.18836006,40.41409979)"
305,3,-127.0920662,41.76097107,"(-127.09206616,41.76097107)"
306,3,-126.2830755,40.70410052,"(-126.2830755,40.70410052)"
307,3,-123.963829,36.66540318,"(-123.96382904,36.66540318)"
308,3,-122.56999,36.69278743,"(-122.56999001,36.69278743)"
309,3,-119.5209789,32.42245897,"(-119.52097893,32.42245897)"
310,3,-126.5222699,41.07054711,"(-126.52226994,41.07054711)"
311,3,-123.6155336,37.19663286,"(-123.61553359,37.19663286)"
312,3,-124.4782533,41.01262914,"(-124.47825327,41.01262914)"
313,3,-126.3801634,38.47987455,"(-126.38016343,38.47987455)"
314,3,-124.8721412,37.70253471,"(-124.87214123,37.70253471)"
315,3,-125.3614731,39.6713462,"(-125.36147306,39.6713462)"
316,3,-119.4795557,33.24030525,"(-119.47955565,33.24030525)"
317,3,-121.0869904,32.17676912,"(-121.08699041,32.17676912)"
318,3,-124.7519765,37.58488476,"(-124.75197653,37.58488476)"
319,3,-126.4058376,38.13897949,"(-126.40583764,38.13897949)"
320,3,-120.4921988,33.97542185,"(-120.49219881,33.97542185)"
321,3,-125.0084536,40.14988962,"(-125.00845358,40.14988962)"
322,3,-124.322533,38.49804075,"(-124.32253295,38.49804075)"
323,3,-122.6966218,36.6018707,"(-122.69662176,36.6018707)"
324,3,-123.9625866,37.06016734,"(-123.96258661,37.06016734)"
325,3,-126.5181972,41.47737802,"(-126.51819723,41.47737802)"
326,3,-122.1282788,36.66471287,"(-122.1282788,36.66471287)"
327,3,-122.858317,34.86740688,"(-122.858317,34.86740688)"
328,3,-120.2751507,31.11635259,"(-120.27515072,31.11635259)"
329,3,-124.4942341,39.94968957,"(-124.4942341,39.94968957)"
330,3,-123.6661984,34.70687984,"(-123.66619843,34.70687984)"
331,3,-123.4175982,37.28226923,"(-123.41759822,37.28226923)"
332,3,-121.5873168,35.50311242,"(-121.58731682,35.50311242)"
333,3,-126.0908928,38.37327507,"(-126.09089279,38.37327507)"
334,3,-126.2961097,39.48933889,"(-126.29610973,39.48933889)"
335,3,-125.8048146,37.1815887,"(-125.80481458,37.1815887)"
336,3,-125.2236481,37.36694557,"(-125.22364814,37.36694557)"
337,3,-123.8518713,35.86848955,"(-123.85187126,35.86848955)"
338,3,-126.4658632,38.22561014,"(-126.46586315,38.22561014)"
339,3,-125.0253066,40.48323369,"(-125.02530656,40.48323369)"
340,3,-122.400691,36.10499892,"(-122.40069097,36.10499892)"
341,3,-123.7438007,34.96569246,"(-123.74380068,34.96569246)"
342,3,-121.8305956,32.09807584,"(-121.83059555,32.09807584)"
343,3,-124.1607807,39.68778039,"(-124.16078068,39.68778039)"
344,3,-124.4736245,38.26432423,"(-124.47362446,38.26432423)"
345,3,-124.786013,41.19845082,"(-124.78601303,41.19845082)"
346,3,-121.9186883,33.74699363,"(-121.91868827,33.74699363)"
347,3,-125.4035774,40.75296591,"(-125.40357735,40.75296591)"
348,3,-124.7780065,40.7254892,"(-124.77800654,40.7254892)"
349,3,-126.2109,38.74042224,"(-126.21090004,38.74042224)"
350,3,-117.7835158,32.63277913,"(-117.78351577,32.63277913)"
351,3,-122.3979829,35.68130505,"(-122.39798288,35.68130505)"
352,3,-122.892286,36.30231058,"(-122.89228598,36.30231058)"
353,3,-118.4552083,33.56591297,"(-118.45520833,33.56591297)"
354,3,-124.0978245,38.79110551,"(-124.09782447,38.79110551)"
355,3,-122.4879844,35.42241647,"(-122.48798437,35.42241647)"
356,3,-119.5071528,31.0528607,"(-119.50715277,31.0528607)"
357,3,-124.9974785,37.06281211,"(-124.99747852,37.06281211)"
358,3,-121.5323562,35.81726789,"(-121.53235618,35.81726789)"
359,3,-125.0071739,40.19347376,"(-125.00717392,40.19347376)"
360,3,-120.6935974,33.88288594,"(-120.69359743,33.88288594)"
361,3,-119.9643972,32.23396688,"(-119.9643972,32.23396688)"
362,3,-121.4369162,33.08506959,"(-121.43691617,33.08506959)"
363,3,-122.9674979,38.1804294,"(-122.96749788,38.1804294)"
364,3,-124.7888113,37.3151803,"(-124.7888113,37.3151803)"
365,3,-126.941171,39.22668923,"(-126.941171,39.22668923)"
366,3,-126.0645697,37.8309218,"(-126.06456973,37.8309218)"
367,3,-118.3946807,32.98113693,"(-118.39468073,32.98113693)"
368,3,-122.449185,34.16651904,"(-122.44918497,34.16651904)"
369,3,-123.6344256,36.27820741,"(-123.6344256,36.27820741)"
370,3,-124.8509065,41.10268677,"(-124.85090645,41.10268677)"
371,3,-121.0057614,30.8684586,"(-121.00576138,30.8684586)"
372,3,-120.0341716,31.07156048,"(-120.03417163,31.07156048)"
373,3,-124.6934343,39.5894683,"(-124.69343431,39.5894683)"
374,3,-117.976212,32.54176542,"(-117.97621203,32.54176542)"
375,3,-121.1334838,34.69473222,"(-121.13348384,34.69473222)"
376,3,-118.7915257,32.80480316,"(-118.79152566,32.80480316)"
377,3,-122.5840545,33.4163178,"(-122.5840545,33.4163178)"
378,3,-125.3043327,38.83775761,"(-125.30433274,38.83775761)"
379,3,-120.2535226,31.10579207,"(-120.25352259,31.10579207)"
380,3,-125.8592303,41.18314179,"(-125.8592303,41.18314179)"
381,3,-126.3623579,38.1192215,"(-126.36235792,38.1192215)"
382,3,-118.8621125,31.80809964,"(-118.86211249,31.80809964)"
383,3,-118.1675793,33.53660392,"(-118.16757934,33.53660392)"
384,3,-119.7369924,31.5119451,"(-119.73699242,31.5119451)"
385,3,-125.4640607,41.00661509,"(-125.46406067,41.00661509)"
386,3,-121.1146798,34.53328104,"(-121.11467977,34.53328104)"
387,3,-123.1296645,34.84226506,"(-123.12966447,34.84226506)"
388,3,-119.6762746,32.47725675,"(-119.6762746,32.47725675)"
389,3,-123.9605533,35.83551695,"(-123.96055331,35.83551695)"
390,3,-125.4180121,36.79684385,"(-125.41801211,36.79684385)"
391,3,-121.9908975,35.68865134,"(-121.99089745,35.68865134)"
392,3,-121.3482754,32.01010915,"(-121.34827542,32.01010915)"
393,3,-126.9239959,40.15112907,"(-126.92399585,40.15112907)"
394,3,-126.9244154,39.61933173,"(-126.92441542,39.61933173)"
395,3,-120.7829299,33.18151349,"(-120.78292994,33.18151349)"
396,3,-121.1814364,35.05518911,"(-121.18143642,35.05518911)"
397,3,-124.4317257,40.50505754,"(-124.43172571,40.50505754)"
398,3,-121.4795196,32.47307477,"(-121.4795196,32.47307477)"
399,3,-122.8797673,34.00953113,"(-122.87976727,34.00953113)"
400,3,-124.3112467,38.83450391,"(-124.3112467,38.83450391)"
401,3,-123.2524328,34.03332804,"(-123.25243283,34.03332804)"
402,3,-122.0369077,33.94182929,"(-122.03690769,33.94182929)"
403,3,-125.2510967,41.57828619,"(-125.25109672,41.57828619)"
404,3,-118.56272,31.62393826,"(-118.56271995,31.62393826)"
405,3,-126.9835304,40.50781289,"(-126.98353036,40.50781289)"
406,3,-122.110203,34.99297657,"(-122.11020296,34.99297657)"
407,3,-123.3329623,38.18586099,"(-123.33296234,38.18586099)"
408,3,-121.6888967,34.74978641,"(-121.68889666,34.74978641)"
409,3,-121.945674,32.74838817,"(-121.94567395,32.74838817)"
410,3,-124.0615408,37.24104839,"(-124.06154081,37.24104839)"
411,3,-119.7817703,32.79712074,"(-119.78177025,32.79712074)"
412,3,-123.3721722,36.11192856,"(-123.37217222,36.11192856)"
