year,site_number,site_number_jupyter,watts
2010,omni-directional_wave_power_53,53,48321.73459
2010,omni-directional_wave_power_54,54,50720.40753
2010,omni-directional_wave_power_55,55,52979.2524
2010,omni-directional_wave_power_56,56,54346.00411
2010,omni-directional_wave_power_57,57,44361.3024
2010,omni-directional_wave_power_58,58,48275.80582
2010,omni-directional_wave_power_59,59,50904.95548
2010,omni-directional_wave_power_60,60,52963.75445
2010,omni-directional_wave_power_61,61,54211.11849
2010,omni-directional_wave_power_62,62,33861.21541
2010,omni-directional_wave_power_63,63,49371.78014
2010,omni-directional_wave_power_64,64,49205.2226
2010,omni-directional_wave_power_65,65,51324.09726
2010,omni-directional_wave_power_66,66,53119.30685
2010,omni-directional_wave_power_67,67,54170.10959
2010,omni-directional_wave_power_68,68,31997.32089
2010,omni-directional_wave_power_69,69,40712.02979
2010,omni-directional_wave_power_70,70,47290.88288
2010,omni-directional_wave_power_71,71,49808.56884
2010,omni-directional_wave_power_72,72,51636.88767
2010,omni-directional_wave_power_73,73,53372.03836
2010,omni-directional_wave_power_74,74,54430.11301
2010,omni-directional_wave_power_75,75,55785.28219
2010,omni-directional_wave_power_76,76,55358.40753
2010,omni-directional_wave_power_77,77,25810.97911
2010,omni-directional_wave_power_78,78,38325.31747
2010,omni-directional_wave_power_79,79,45012.89966
2010,omni-directional_wave_power_80,80,48082.98733
2010,omni-directional_wave_power_81,81,50312.41301
2010,omni-directional_wave_power_82,82,52086.77945
2010,omni-directional_wave_power_83,83,27750.51918
2010,omni-directional_wave_power_84,84,37239.72432
2010,omni-directional_wave_power_85,85,43279.70103
2010,omni-directional_wave_power_86,86,46377.48664
2010,omni-directional_wave_power_87,87,48854.81747
2010,omni-directional_wave_power_88,88,50988.47774
2010,omni-directional_wave_power_89,89,52477.32397
2010,omni-directional_wave_power_90,90,36204.29623
2010,omni-directional_wave_power_91,91,40701.79041
2010,omni-directional_wave_power_92,92,44637.60342
2010,omni-directional_wave_power_93,93,47294.03699
2010,omni-directional_wave_power_94,94,49525.62021
2010,omni-directional_wave_power_95,95,51513.94829
2010,omni-directional_wave_power_96,96,52991.16233
2010,omni-directional_wave_power_97,97,27844.75479
2010,omni-directional_wave_power_98,98,42294.78493
2010,omni-directional_wave_power_99,99,45602.07089
2010,omni-directional_wave_power_100,100,48078.30753
2010,omni-directional_wave_power_101,101,50251.8774
2010,omni-directional_wave_power_102,102,52019.88767
2010,omni-directional_wave_power_103,103,40279.75068
2010,omni-directional_wave_power_104,104,43604.39863
2010,omni-directional_wave_power_105,105,46766.14041
2010,omni-directional_wave_power_106,106,48836.62979
2010,omni-directional_wave_power_107,107,51147.56644
2010,omni-directional_wave_power_108,108,52666.21507
2010,omni-directional_wave_power_109,109,41970.35548
2010,omni-directional_wave_power_110,110,44845.49144
2010,omni-directional_wave_power_111,111,47779.59041
2010,omni-directional_wave_power_112,112,49732.60753
2010,omni-directional_wave_power_113,113,51744.96199
2010,omni-directional_wave_power_114,114,53119.14007
2010,omni-directional_wave_power_115,115,54713.67534
2010,omni-directional_wave_power_116,116,54717.42568
2010,omni-directional_wave_power_117,117,2.643493151
2010,omni-directional_wave_power_118,118,28974.45
2010,omni-directional_wave_power_119,119,42920.97089
2010,omni-directional_wave_power_120,120,46219.35377
2010,omni-directional_wave_power_121,121,48722.76541
2010,omni-directional_wave_power_122,122,50545.33356
2010,omni-directional_wave_power_123,123,52407.05103
2010,omni-directional_wave_power_124,124,28971.23116
2010,omni-directional_wave_power_125,125,37408.70753
2010,omni-directional_wave_power_126,126,44051.21096
2010,omni-directional_wave_power_127,127,47725.56986
2010,omni-directional_wave_power_128,128,49773.82226
2010,omni-directional_wave_power_129,129,51230.72055
2010,omni-directional_wave_power_130,130,52769.6911
2010,omni-directional_wave_power_131,131,31683.61336
2010,omni-directional_wave_power_132,132,35607.96027
2010,omni-directional_wave_power_133,133,42176.54726
2010,omni-directional_wave_power_134,134,46553.57705
2010,omni-directional_wave_power_135,135,48806.09144
2010,omni-directional_wave_power_136,136,50491.63322
2010,omni-directional_wave_power_137,137,51913.51712
2010,omni-directional_wave_power_138,138,53154.88014
2010,omni-directional_wave_power_139,139,26916.62363
2010,omni-directional_wave_power_140,140,35402.23733
2010,omni-directional_wave_power_141,141,40862.59384
2010,omni-directional_wave_power_142,142,45480.1363
2010,omni-directional_wave_power_143,143,47968.39932
2010,omni-directional_wave_power_144,144,49875.40205
2010,omni-directional_wave_power_145,145,51332.83596
2010,omni-directional_wave_power_146,146,20.05
2010,omni-directional_wave_power_147,147,35100.9839
2010,omni-directional_wave_power_148,148,40238.40993
2010,omni-directional_wave_power_149,149,44189.48938
2010,omni-directional_wave_power_150,150,46852.35822
2010,omni-directional_wave_power_151,151,48828.68425
2010,omni-directional_wave_power_152,152,50549.19144
2010,omni-directional_wave_power_153,153,51665.58219
2010,omni-directional_wave_power_154,154,4340.924315
2010,omni-directional_wave_power_155,155,38713.77432
2010,omni-directional_wave_power_156,156,41859.52432
2010,omni-directional_wave_power_157,157,45837.10308
2010,omni-directional_wave_power_158,158,48027.68527
2010,omni-directional_wave_power_159,159,49625.17466
2010,omni-directional_wave_power_160,160,51092.73664
2010,omni-directional_wave_power_161,161,52043.93082
2010,omni-directional_wave_power_162,162,11120.36849
2010,omni-directional_wave_power_163,163,22458.7976
2010,omni-directional_wave_power_164,164,32198.51233
2010,omni-directional_wave_power_165,165,40835.87637
2010,omni-directional_wave_power_166,166,46062.53425
2010,omni-directional_wave_power_167,167,45742.08493
2010,omni-directional_wave_power_168,168,48754.68459
2010,omni-directional_wave_power_169,169,50130.76233
2010,omni-directional_wave_power_170,170,28132.00274
2010,omni-directional_wave_power_171,171,33080.90137
2010,omni-directional_wave_power_172,172,40206.18699
2010,omni-directional_wave_power_173,173,41794.59075
2010,omni-directional_wave_power_174,174,44708.38836
2010,omni-directional_wave_power_175,175,47836.23082
2010,omni-directional_wave_power_176,176,49185.45925
2010,omni-directional_wave_power_177,177,50501.96027
2010,omni-directional_wave_power_178,178,28076.87877
2010,omni-directional_wave_power_179,179,33091.6637
2010,omni-directional_wave_power_180,180,35943.07979
2010,omni-directional_wave_power_181,181,44205.1589
2010,omni-directional_wave_power_182,182,46692.74281
2010,omni-directional_wave_power_183,183,48168.49315
2010,omni-directional_wave_power_184,184,49440.88699
2010,omni-directional_wave_power_185,185,50484.86644
2010,omni-directional_wave_power_186,186,26274.29726
2010,omni-directional_wave_power_187,187,34089.23185
2010,omni-directional_wave_power_188,188,36706.7637
2010,omni-directional_wave_power_189,189,42713.82568
2010,omni-directional_wave_power_190,190,45553.65993
2010,omni-directional_wave_power_191,191,47037.84007
2010,omni-directional_wave_power_192,192,31447.23767
2010,omni-directional_wave_power_193,193,37341.51644
2010,omni-directional_wave_power_194,194,40356.84863
2010,omni-directional_wave_power_195,195,44450.21644
2010,omni-directional_wave_power_196,196,45975.26438
2010,omni-directional_wave_power_197,197,47287.3226
2010,omni-directional_wave_power_198,198,54368.79623
2010,omni-directional_wave_power_199,199,53514.57397
2010,omni-directional_wave_power_200,200,52033.86541
2010,omni-directional_wave_power_201,201,49626.36404
2010,omni-directional_wave_power_202,202,0.264041096
2010,omni-directional_wave_power_203,203,2.31609589
2010,omni-directional_wave_power_204,204,26624.48425
2010,omni-directional_wave_power_205,205,35698.41986
2010,omni-directional_wave_power_206,206,39182.34726
2010,omni-directional_wave_power_207,207,43067.26918
2010,omni-directional_wave_power_208,208,44977.61541
2010,omni-directional_wave_power_209,209,46454.61575
2010,omni-directional_wave_power_210,210,10879.22363
2010,omni-directional_wave_power_211,211,13414.51644
2010,omni-directional_wave_power_212,212,23157.52397
2010,omni-directional_wave_power_213,213,30789.16849
2010,omni-directional_wave_power_214,214,37006.69829
2010,omni-directional_wave_power_215,215,41561.39555
2010,omni-directional_wave_power_216,216,43918.69418
2010,omni-directional_wave_power_217,217,45280.95479
2010,omni-directional_wave_power_218,218,46571.62192
2010,omni-directional_wave_power_219,219,17960.26164
2010,omni-directional_wave_power_220,220,23565.44144
2010,omni-directional_wave_power_221,221,32975.39966
2010,omni-directional_wave_power_222,222,37280.42158
2010,omni-directional_wave_power_223,223,40637.10548
2010,omni-directional_wave_power_224,224,42773.03288
2010,omni-directional_wave_power_225,225,44238.48151
2010,omni-directional_wave_power_226,226,45661.73767
2010,omni-directional_wave_power_227,227,46627.00685
2010,omni-directional_wave_power_228,228,20017.625
2010,omni-directional_wave_power_229,229,14595.5387
2010,omni-directional_wave_power_230,230,36793.05308
2010,omni-directional_wave_power_231,231,39393.26507
2010,omni-directional_wave_power_232,232,41636.34212
2010,omni-directional_wave_power_233,233,43322.9274
2010,omni-directional_wave_power_234,234,44461.39692
2010,omni-directional_wave_power_235,235,36191.1637
2010,omni-directional_wave_power_236,236,38344.13664
2010,omni-directional_wave_power_237,237,40479.89315
2010,omni-directional_wave_power_238,238,42374.71884
2010,omni-directional_wave_power_239,239,43597.41747
2010,omni-directional_wave_power_240,240,44613.29829
2010,omni-directional_wave_power_241,241,20398.03219
2010,omni-directional_wave_power_242,242,38256.55274
2010,omni-directional_wave_power_243,243,39593.5161
2010,omni-directional_wave_power_244,244,41100.55171
2010,omni-directional_wave_power_245,245,42716.87568
2010,omni-directional_wave_power_246,246,43915.62603
2010,omni-directional_wave_power_247,247,44820.96507
2010,omni-directional_wave_power_248,248,48481.78973
2010,omni-directional_wave_power_249,249,46532.65719
2010,omni-directional_wave_power_250,250,28278.15788
2010,omni-directional_wave_power_251,251,34756.7387
2010,omni-directional_wave_power_252,252,38946.45514
2010,omni-directional_wave_power_253,253,40290.41301
2010,omni-directional_wave_power_254,254,41874.26404
2010,omni-directional_wave_power_255,255,43089.02055
2010,omni-directional_wave_power_256,256,27124.85377
2010,omni-directional_wave_power_257,257,34114.50925
2010,omni-directional_wave_power_258,258,38438.30822
2010,omni-directional_wave_power_259,259,39745.76918
2010,omni-directional_wave_power_260,260,41233.60514
2010,omni-directional_wave_power_261,261,42473.86507
2010,omni-directional_wave_power_262,262,43529.50959
2010,omni-directional_wave_power_263,263,22661.70993
2010,omni-directional_wave_power_264,264,30848.65
2010,omni-directional_wave_power_265,265,37483.13699
2010,omni-directional_wave_power_266,266,39166.96199
2010,omni-directional_wave_power_267,267,40545.56404
2010,omni-directional_wave_power_268,268,41958.80068
2010,omni-directional_wave_power_269,269,42997.32637
2010,omni-directional_wave_power_270,270,43892.99521
2010,omni-directional_wave_power_271,271,44981.81233
2010,omni-directional_wave_power_272,272,20450.4524
2010,omni-directional_wave_power_273,273,29858.67432
2010,omni-directional_wave_power_274,274,36982.64863
2010,omni-directional_wave_power_275,275,38845.50068
2010,omni-directional_wave_power_276,276,40065.97192
2010,omni-directional_wave_power_277,277,41533.44247
2010,omni-directional_wave_power_278,278,19875.05548
2010,omni-directional_wave_power_279,279,32270.66884
2010,omni-directional_wave_power_280,280,36431.7887
2010,omni-directional_wave_power_281,281,38462.83767
2010,omni-directional_wave_power_282,282,39514.00034
2010,omni-directional_wave_power_283,283,40965.775
2010,omni-directional_wave_power_284,284,42460.76678
2010,omni-directional_wave_power_285,285,3274.773973
2010,omni-directional_wave_power_286,286,31736.40411
2010,omni-directional_wave_power_287,287,35823.78253
2010,omni-directional_wave_power_288,288,37835.90137
2010,omni-directional_wave_power_289,289,39220.41884
2010,omni-directional_wave_power_290,290,40497.2613
2010,omni-directional_wave_power_291,291,41964.97226
2010,omni-directional_wave_power_292,292,43120.39315
2010,omni-directional_wave_power_293,293,15094.73767
2010,omni-directional_wave_power_294,294,22983.69418
2010,omni-directional_wave_power_295,295,34765.39418
2010,omni-directional_wave_power_296,296,37355.22911
2010,omni-directional_wave_power_297,297,38796.45753
2010,omni-directional_wave_power_298,298,40089.20445
2010,omni-directional_wave_power_299,299,41530.75274
2010,omni-directional_wave_power_300,300,42820.5137
2010,omni-directional_wave_power_301,301,43736.34555
2010,omni-directional_wave_power_302,302,14279.30856
2010,omni-directional_wave_power_303,303,31758.4774
2010,omni-directional_wave_power_304,304,36629.14932
2010,omni-directional_wave_power_305,305,38410.91884
2010,omni-directional_wave_power_306,306,39612.18562
2010,omni-directional_wave_power_307,307,41044.01062
2010,omni-directional_wave_power_308,308,23703.44281
2010,omni-directional_wave_power_309,309,35219.80342
2010,omni-directional_wave_power_310,310,37827.71404
2010,omni-directional_wave_power_311,311,39156.50445
2010,omni-directional_wave_power_312,312,40487.4113
2010,omni-directional_wave_power_313,313,42006.26233
2010,omni-directional_wave_power_314,314,-9
2010,omni-directional_wave_power_315,315,36475.56233
2010,omni-directional_wave_power_316,316,38961.81233
2010,omni-directional_wave_power_317,317,40214.08322
2010,omni-directional_wave_power_318,318,41416.11712
2010,omni-directional_wave_power_319,319,42899.19315
2010,omni-directional_wave_power_320,320,44144.69863
2010,omni-directional_wave_power_321,321,43995.80582
2010,omni-directional_wave_power_322,322,3026.27089
2010,omni-directional_wave_power_323,323,2906.630137
2010,omni-directional_wave_power_324,324,3262.813356
2010,omni-directional_wave_power_325,325,3803.374315
2010,omni-directional_wave_power_326,326,4597.54726
2010,omni-directional_wave_power_327,327,6457.955137
2010,omni-directional_wave_power_328,328,17933.15856
2010,omni-directional_wave_power_329,329,31298.96712
2010,omni-directional_wave_power_330,330,38728.70993
2010,omni-directional_wave_power_331,331,40132.79692
2010,omni-directional_wave_power_332,332,41219.94932
2010,omni-directional_wave_power_333,333,42594.1476
2010,omni-directional_wave_power_334,334,43776.66747
2010,omni-directional_wave_power_335,335,6339.391438
2010,omni-directional_wave_power_336,336,5378.824658
2010,omni-directional_wave_power_337,337,5482.986301
2010,omni-directional_wave_power_338,338,7794.920205
2010,omni-directional_wave_power_339,339,9978.52911
2010,omni-directional_wave_power_340,340,14507.15479
2010,omni-directional_wave_power_341,341,22083.79486
2010,omni-directional_wave_power_342,342,31221.30925
2010,omni-directional_wave_power_343,343,37527.2839
2010,omni-directional_wave_power_344,344,39808.36027
2010,omni-directional_wave_power_345,345,40981.80445
2010,omni-directional_wave_power_346,346,42241.56404
2010,omni-directional_wave_power_347,347,43416.92705
2010,omni-directional_wave_power_348,348,44108.31747
2010,omni-directional_wave_power_349,349,3596.131507
2010,omni-directional_wave_power_350,350,3737.434932
2010,omni-directional_wave_power_351,351,3823.00274
2010,omni-directional_wave_power_352,352,5971.44589
2010,omni-directional_wave_power_353,353,7593.296575
2010,omni-directional_wave_power_354,354,9369.646233
2010,omni-directional_wave_power_355,355,7648.563699
2010,omni-directional_wave_power_356,356,7524.082192
2010,omni-directional_wave_power_357,357,9944.355822
2010,omni-directional_wave_power_358,358,14053.98425
2010,omni-directional_wave_power_359,359,17411.79247
2010,omni-directional_wave_power_360,360,22726.7476
2010,omni-directional_wave_power_361,361,34000.61404
2010,omni-directional_wave_power_362,362,38748.87295
2010,omni-directional_wave_power_363,363,40896.31541
2010,omni-directional_wave_power_364,364,41945.49486
2010,omni-directional_wave_power_365,365,42986.58151
2010,omni-directional_wave_power_366,366,43864.84281
2010,omni-directional_wave_power_367,367,44345.00411
2010,omni-directional_wave_power_368,368,44658.88767
2010,omni-directional_wave_power_369,369,6460.915753
2010,omni-directional_wave_power_370,370,8624.028767
2010,omni-directional_wave_power_371,371,9105.803767
2010,omni-directional_wave_power_372,372,7111.490753
2010,omni-directional_wave_power_373,373,6723.209589
2010,omni-directional_wave_power_374,374,6541.594178
2010,omni-directional_wave_power_375,375,6551.511644
2010,omni-directional_wave_power_376,376,6647.032192
2010,omni-directional_wave_power_377,377,7538.845548
2010,omni-directional_wave_power_378,378,7918.179795
2010,omni-directional_wave_power_379,379,10267.2839
2010,omni-directional_wave_power_380,380,22815.28664
2010,omni-directional_wave_power_381,381,38018.82089
2010,omni-directional_wave_power_382,382,41121.53185
2010,omni-directional_wave_power_383,383,41991.67363
2010,omni-directional_wave_power_384,384,43114.80342
2010,omni-directional_wave_power_385,385,43821.05479
2010,omni-directional_wave_power_386,386,3593.156164
2010,omni-directional_wave_power_387,387,2546.696918
2010,omni-directional_wave_power_388,388,6159.601712
2010,omni-directional_wave_power_389,389,8208.123288
2010,omni-directional_wave_power_390,390,9126.823288
2010,omni-directional_wave_power_391,391,8735.846233
2010,omni-directional_wave_power_392,392,8789.479795
2010,omni-directional_wave_power_393,393,9761.128425
2010,omni-directional_wave_power_394,394,10668.37123
2010,omni-directional_wave_power_395,395,12669.13356
2010,omni-directional_wave_power_396,396,15514.72021
2010,omni-directional_wave_power_397,397,20677.94932
2010,omni-directional_wave_power_398,398,29406.83973
2010,omni-directional_wave_power_399,399,37508.32089
2010,omni-directional_wave_power_400,400,41329.99726
2010,omni-directional_wave_power_401,401,42156.91507
2010,omni-directional_wave_power_402,402,42938.03356
2010,omni-directional_wave_power_403,403,43758.52158
2010,omni-directional_wave_power_404,404,44299.3839
2010,omni-directional_wave_power_405,405,6690.185959
2010,omni-directional_wave_power_406,406,5681.595205
2010,omni-directional_wave_power_407,407,5605.052055
2010,omni-directional_wave_power_408,408,6430.307192
2010,omni-directional_wave_power_409,409,6097.02089
2010,omni-directional_wave_power_410,410,8856.417123
2010,omni-directional_wave_power_411,411,12062.98185
2010,omni-directional_wave_power_412,412,13124.2613
2010,omni-directional_wave_power_413,413,13281.46301
2010,omni-directional_wave_power_414,414,15137.825
2010,omni-directional_wave_power_415,415,17725.23733
2010,omni-directional_wave_power_416,416,22295.9476
2010,omni-directional_wave_power_417,417,26987.98562
2010,omni-directional_wave_power_418,418,30925.81062
2010,omni-directional_wave_power_419,419,37361.09349
2010,omni-directional_wave_power_420,420,40986.78596
2010,omni-directional_wave_power_421,421,42175.05308
2010,omni-directional_wave_power_422,422,42777.53527
2010,omni-directional_wave_power_423,423,43418.00993
2010,omni-directional_wave_power_424,424,5890.020205
2010,omni-directional_wave_power_425,425,6804.267123
2010,omni-directional_wave_power_426,426,6477.281507
2010,omni-directional_wave_power_427,427,6227.529452
2010,omni-directional_wave_power_428,428,3802.136301
2010,omni-directional_wave_power_429,429,1523.983904
2010,omni-directional_wave_power_430,430,10470.9161
2010,omni-directional_wave_power_431,431,11820.90479
2010,omni-directional_wave_power_432,432,14538.2024
2010,omni-directional_wave_power_433,433,19207.64452
2010,omni-directional_wave_power_434,434,20552.40651
2010,omni-directional_wave_power_435,435,21738.05616
2010,omni-directional_wave_power_436,436,27182.25685
2010,omni-directional_wave_power_437,437,34184.58562
2010,omni-directional_wave_power_438,438,37239.0726
2010,omni-directional_wave_power_439,439,40699.43767
2010,omni-directional_wave_power_440,440,41846.51575
2010,omni-directional_wave_power_441,441,42506.51507
2010,omni-directional_wave_power_442,442,43114.44863
2010,omni-directional_wave_power_443,443,43696.80685
2010,omni-directional_wave_power_444,444,44613.70616
2010,omni-directional_wave_power_445,445,44167.33836
2010,omni-directional_wave_power_446,446,6425.175
2010,omni-directional_wave_power_447,447,7535.660959
2010,omni-directional_wave_power_448,448,7282.439726
2010,omni-directional_wave_power_449,449,7470.738356
2010,omni-directional_wave_power_450,450,7432.035274
2010,omni-directional_wave_power_451,451,8677.763699
2010,omni-directional_wave_power_452,452,11021.28459
2010,omni-directional_wave_power_453,453,14025.32226
2010,omni-directional_wave_power_454,454,18146.58562
2010,omni-directional_wave_power_455,455,18512.24692
2010,omni-directional_wave_power_456,456,18195.13767
2010,omni-directional_wave_power_457,457,15659.22808
2010,omni-directional_wave_power_458,458,15661.50411
2010,omni-directional_wave_power_459,459,31666.29452
2010,omni-directional_wave_power_460,460,35796.04144
2010,omni-directional_wave_power_461,461,40027.97021
2010,omni-directional_wave_power_462,462,41410.4089
2010,omni-directional_wave_power_463,463,42196.6411
2010,omni-directional_wave_power_464,464,42851.63699
2010,omni-directional_wave_power_465,465,43384.06027
2010,omni-directional_wave_power_466,466,6995.292466
2010,omni-directional_wave_power_467,467,8099.338014
2010,omni-directional_wave_power_468,468,9706.981507
2010,omni-directional_wave_power_469,469,10817.15411
2010,omni-directional_wave_power_470,470,11737.47021
2010,omni-directional_wave_power_471,471,12713.97671
2010,omni-directional_wave_power_472,472,13601.99795
2010,omni-directional_wave_power_473,473,13030.27842
2010,omni-directional_wave_power_474,474,14755.05651
2010,omni-directional_wave_power_475,475,18075.57671
2010,omni-directional_wave_power_476,476,18653.21712
2010,omni-directional_wave_power_477,477,18367.80137
2010,omni-directional_wave_power_478,478,22618.71849
2010,omni-directional_wave_power_479,479,29719.09315
2010,omni-directional_wave_power_480,480,36138.66884
2010,omni-directional_wave_power_481,481,39585.75
2010,omni-directional_wave_power_482,482,41014.98904
2010,omni-directional_wave_power_483,483,41822.21164
2010,omni-directional_wave_power_484,484,42502.40411
2010,omni-directional_wave_power_485,485,43066.93082
2010,omni-directional_wave_power_486,486,43586.2726
2010,omni-directional_wave_power_487,487,7399.770548
2010,omni-directional_wave_power_488,488,10131.63014
2010,omni-directional_wave_power_489,489,10862.51473
2010,omni-directional_wave_power_490,490,11849.10137
2010,omni-directional_wave_power_491,491,12968.20445
2010,omni-directional_wave_power_492,492,12713.78733
2010,omni-directional_wave_power_493,493,8643.078082
2010,omni-directional_wave_power_494,494,1710.264726
2010,omni-directional_wave_power_495,495,20551.02671
2010,omni-directional_wave_power_496,496,21742.49658
2010,omni-directional_wave_power_497,497,23696.45274
2010,omni-directional_wave_power_498,498,27412.24623
2010,omni-directional_wave_power_499,499,31828.15377
2010,omni-directional_wave_power_500,500,35894.63322
2010,omni-directional_wave_power_501,501,38945.23733
2010,omni-directional_wave_power_502,502,40529.05034
2010,omni-directional_wave_power_503,503,41276.82671
2010,omni-directional_wave_power_504,504,3812.730137
2010,omni-directional_wave_power_505,505,9430.885959
2010,omni-directional_wave_power_506,506,12714.45959
2010,omni-directional_wave_power_507,507,14351.87055
2010,omni-directional_wave_power_508,508,13965.68253
2010,omni-directional_wave_power_509,509,11985.41301
2010,omni-directional_wave_power_510,510,11507.80308
2010,omni-directional_wave_power_511,511,12956.17877
2010,omni-directional_wave_power_512,512,22694.2339
2010,omni-directional_wave_power_513,513,24474.52021
2010,omni-directional_wave_power_514,514,26635.48836
2010,omni-directional_wave_power_515,515,29694.4113
2010,omni-directional_wave_power_516,516,31990.77945
2010,omni-directional_wave_power_517,517,35897.39418
2010,omni-directional_wave_power_518,518,37880.69863
2010,omni-directional_wave_power_519,519,40126.21027
2010,omni-directional_wave_power_520,520,40716.60034
2010,omni-directional_wave_power_521,521,41412.29281
2010,omni-directional_wave_power_522,522,7735.335274
2010,omni-directional_wave_power_523,523,12499.20788
2010,omni-directional_wave_power_524,524,14261.86575
2010,omni-directional_wave_power_525,525,13817.18562
2010,omni-directional_wave_power_526,526,14818.23664
2010,omni-directional_wave_power_527,527,17222.1887
2010,omni-directional_wave_power_528,528,20773.8339
2010,omni-directional_wave_power_529,529,24417.70925
2010,omni-directional_wave_power_530,530,24933.51884
2010,omni-directional_wave_power_531,531,28039.35308
2010,omni-directional_wave_power_532,532,29631.12192
2010,omni-directional_wave_power_533,533,31657.42911
2010,omni-directional_wave_power_534,534,33504.59623
2010,omni-directional_wave_power_535,535,36456.65925
2010,omni-directional_wave_power_536,536,39611.95548
2010,omni-directional_wave_power_537,537,40218.98664
2010,omni-directional_wave_power_538,538,40800.2161
2010,omni-directional_wave_power_539,539,41374.18151
2010,omni-directional_wave_power_540,540,44135.67671
2010,omni-directional_wave_power_541,541,42350.49007
2010,omni-directional_wave_power_542,542,49473.20342
2010,omni-directional_wave_power_543,543,3425.642466
2009,omni-directional_wave_power_0,0,21874.44281
2009,omni-directional_wave_power_1,1,29944.94281
2009,omni-directional_wave_power_2,2,32483.59452
2009,omni-directional_wave_power_3,3,34253.83664
2009,omni-directional_wave_power_4,4,35839.7476
2009,omni-directional_wave_power_5,5,7223.817466
2009,omni-directional_wave_power_6,6,17727.99863
2009,omni-directional_wave_power_7,7,30515.61918
2009,omni-directional_wave_power_8,8,32605.96473
2009,omni-directional_wave_power_9,9,34450.04932
2009,omni-directional_wave_power_10,10,36157.77158
2009,omni-directional_wave_power_11,11,26281.82329
2009,omni-directional_wave_power_12,12,27645.71438
2009,omni-directional_wave_power_13,13,30597.38116
2009,omni-directional_wave_power_14,14,32981.18699
2009,omni-directional_wave_power_15,15,34709.96267
2009,omni-directional_wave_power_16,16,36573.63288
2009,omni-directional_wave_power_17,17,23300.38801
2009,omni-directional_wave_power_18,18,29123.25171
2009,omni-directional_wave_power_19,19,30735.70377
2009,omni-directional_wave_power_20,20,33261.44212
2009,omni-directional_wave_power_21,21,35033.70753
2009,omni-directional_wave_power_22,22,36978.91747
2009,omni-directional_wave_power_23,23,24462.21678
2009,omni-directional_wave_power_24,24,27961.91027
2009,omni-directional_wave_power_25,25,31090.56747
2009,omni-directional_wave_power_26,26,33323.73527
2009,omni-directional_wave_power_27,27,35341.77432
2009,omni-directional_wave_power_28,28,37291.71267
2009,omni-directional_wave_power_29,29,4.057876712
2009,omni-directional_wave_power_30,30,28173.94726
2009,omni-directional_wave_power_31,31,31264.24932
2009,omni-directional_wave_power_32,32,33494.02808
2009,omni-directional_wave_power_33,33,35838.06267
2009,omni-directional_wave_power_34,34,37552.54829
2009,omni-directional_wave_power_35,35,38326.65034
2009,omni-directional_wave_power_36,36,39356.88459
2009,omni-directional_wave_power_37,37,21249.67397
